City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
146,Magistralnyy,56.1725,107.4458,41.5,94,100,4.7,RU,2022-04-18 00:07:20,overcast clouds
147,Rawson,-43.3002,-65.1023,60.51,74,0,24.61,AR,2022-04-18 00:07:20,clear sky
148,Turayf,31.6725,38.6637,66.16,14,0,12.33,SA,2022-04-18 00:07:21,clear sky
149,Iqaluit,63.7506,-68.5145,-13.92,91,61,6.02,CA,2022-04-18 00:07:21,broken clouds
150,Upata,8.0086,-62.3989,75.92,73,28,8.72,VE,2022-04-18 00:07:21,scattered clouds
151,Ngunguru,-35.6167,174.5,66.47,92,100,25.01,NZ,2022-04-18 00:07:22,light rain
152,Ylivieska,64.0833,24.55,35.89,96,99,2.42,FI,2022-04-18 00:05:00,overcast clouds
153,Ayagoz,47.9714,80.4392,50.58,33,85,6.02,KZ,2022-04-18 00:07:22,overcast clouds
154,Vila Franca Do Campo,37.7167,-25.4333,59.41,75,77,10.47,PT,2022-04-18 00:07:22,broken clouds
155,Sao Filipe,14.8961,-24.4956,71.46,78,2,8.1,CV,2022-04-18 00:07:23,clear sky
156,Desaguadero,-16.5656,-69.0417,45.16,39,2,2.04,PE,2022-04-18 00:07:23,clear sky
157,North Bay,46.3168,-79.4663,37.94,62,75,4.99,CA,2022-04-18 00:07:23,broken clouds
158,Robinson,31.4677,-97.1147,82.4,56,0,10.36,US,2022-04-18 00:07:24,clear sky
159,Carutapera,-1.195,-46.02,76.37,91,98,3.11,BR,2022-04-18 00:07:24,overcast clouds
160,Ribeira Grande,38.5167,-28.7,58.1,70,53,19.48,PT,2022-04-18 00:07:24,broken clouds
161,Bay Roberts,47.5999,-53.2648,53.65,95,100,4.0,CA,2022-04-18 00:07:25,overcast clouds
162,Portland,45.5234,-122.6762,59.61,47,100,10.36,US,2022-04-18 00:04:23,overcast clouds
163,Narsaq,60.9167,-46.05,34.02,91,81,3.51,GL,2022-04-18 00:07:25,broken clouds
164,Yelizovo,53.1873,158.3805,35.74,43,75,4.47,RU,2022-04-18 00:07:26,broken clouds
165,Avarua,-21.2078,-159.775,80.65,74,75,3.44,CK,2022-04-18 00:07:26,broken clouds
166,Rio Grande,-32.035,-52.0986,63.95,76,100,12.08,BR,2022-04-18 00:07:27,overcast clouds
167,Nome,64.5011,-165.4064,31.1,80,100,17.27,US,2022-04-18 00:07:27,overcast clouds
168,Bara,10.3744,10.7288,84.54,54,92,6.69,NG,2022-04-18 00:07:27,light rain
169,Barcelos,41.5388,-8.6151,58.84,88,1,6.26,PT,2022-04-18 00:07:28,clear sky
170,Beitbridge,-22.2167,30.0,65.37,81,100,6.29,ZW,2022-04-18 00:07:28,overcast clouds
171,Port Moresby,-9.4431,147.1797,83.77,72,95,3.56,PG,2022-04-18 00:04:26,overcast clouds
172,Moose Factory,51.2585,-80.6094,20.79,79,84,5.66,CA,2022-04-18 00:07:28,broken clouds
173,Luganville,-15.5333,167.1667,85.98,65,68,4.07,VU,2022-04-18 00:07:29,light rain
174,Mayumba,-3.432,10.6554,77.11,92,100,4.5,GA,2022-04-18 00:07:29,overcast clouds
175,Waipawa,-41.4122,175.5153,59.22,63,65,13.82,NZ,2022-04-18 00:05:08,broken clouds
176,Surgut,61.25,73.4167,15.98,92,0,0.0,RU,2022-04-18 00:07:30,clear sky
177,Yangambi,0.8102,24.4336,72.5,81,43,2.42,CD,2022-04-18 00:07:30,scattered clouds
178,Tolaga Bay,-38.3667,178.3,61.07,81,100,12.68,NZ,2022-04-18 00:04:53,overcast clouds
179,Salaverry,-8.2333,-78.9667,62.98,85,13,10.04,PE,2022-04-18 00:07:30,few clouds
180,Hirara,24.8,125.2833,70.75,70,89,7.76,JP,2022-04-18 00:07:31,overcast clouds
181,Clearwater,27.9659,-82.8001,81.03,79,0,14.0,US,2022-04-18 00:07:31,clear sky
182,Caravelas,-17.7125,-39.2481,78.03,62,100,10.83,BR,2022-04-18 00:07:31,overcast clouds
183,Mardin,37.3131,40.7436,49.26,54,0,2.3,TR,2022-04-18 00:07:32,clear sky
184,Grindavik,63.8424,-22.4338,39.67,81,75,9.22,IS,2022-04-18 00:07:32,broken clouds
185,Labuhan,-6.8844,112.2051,81.54,83,73,3.24,ID,2022-04-18 00:07:32,broken clouds
186,Airai,-8.9266,125.4092,68.5,71,70,1.9,TL,2022-04-18 00:07:33,broken clouds
187,Severo-Kurilsk,50.6789,156.125,32.11,78,91,5.5,RU,2022-04-18 00:08:33,overcast clouds
188,Namibe,-15.1961,12.1522,73.02,78,23,5.53,AO,2022-04-18 00:08:33,few clouds
189,Saint-Denis,48.9167,2.3333,57.11,44,0,6.91,FR,2022-04-18 00:08:34,clear sky
190,Cortez,37.3489,-108.5859,68.76,13,0,9.22,US,2022-04-18 00:08:34,clear sky
191,Longyearbyen,78.2186,15.6401,21.04,86,75,12.66,SJ,2022-04-18 00:08:34,broken clouds
192,Washington,47.5001,-120.5015,52.48,32,68,1.63,US,2022-04-18 00:08:35,broken clouds
193,Sao Joao Da Barra,-21.6403,-41.0511,69.78,75,2,10.4,BR,2022-04-18 00:04:23,clear sky
194,Luderitz,-26.6481,15.1594,67.48,49,0,12.12,NA,2022-04-18 00:08:35,clear sky
195,Georgetown,5.4112,100.3354,82.33,89,40,0.0,MY,2022-04-18 00:03:49,scattered clouds
196,Bengkulu,-3.8004,102.2655,76.98,89,96,3.85,ID,2022-04-18 00:08:36,overcast clouds
197,Takoradi,4.8845,-1.7554,78.78,86,95,8.12,GH,2022-04-18 00:08:36,overcast clouds
198,Tuatapere,-46.1333,167.6833,59.49,61,10,3.18,NZ,2022-04-18 00:06:14,clear sky
199,Izberbash,42.5696,47.8645,48.25,73,4,15.12,RU,2022-04-18 00:08:36,clear sky
200,Tomatlan,19.9333,-105.25,80.91,57,70,6.93,MX,2022-04-18 00:08:37,broken clouds
201,Beloha,-25.1667,45.05,73.36,88,88,10.85,MG,2022-04-18 00:07:20,overcast clouds
202,Bathsheba,13.2167,-59.5167,79.41,73,75,18.41,BB,2022-04-18 00:08:37,broken clouds
203,Vangaindrano,-23.35,47.6,73.54,86,69,2.73,MG,2022-04-18 00:08:37,broken clouds
204,Mogadishu,2.0371,45.3438,82.36,82,100,12.37,SO,2022-04-18 00:08:38,overcast clouds
205,Mehamn,71.0357,27.8492,40.03,96,100,15.93,NO,2022-04-18 00:08:38,overcast clouds
206,Reconquista,-29.15,-59.65,60.75,77,6,5.39,AR,2022-04-18 00:05:23,clear sky
207,Dandong,40.1292,124.3947,55.54,48,92,4.9,CN,2022-04-18 00:08:39,overcast clouds
208,Kavaratti,10.5669,72.642,82.87,74,62,4.72,IN,2022-04-18 00:08:39,broken clouds
209,Nador,35.174,-2.9287,62.85,72,0,0.0,MA,2022-04-18 00:08:39,clear sky
210,Mingshui,36.7167,117.5,61.3,42,99,7.92,CN,2022-04-18 00:08:39,overcast clouds
211,Thompson,55.7435,-97.8558,28.76,64,100,2.13,CA,2022-04-18 00:08:40,overcast clouds
212,Veraval,20.9,70.3667,78.48,72,0,10.11,IN,2022-04-18 00:08:40,clear sky
213,Poum,-20.2333,164.0167,75.61,76,93,0.92,NC,2022-04-18 00:08:40,overcast clouds
214,Kenora,49.8167,-94.4337,28.78,74,100,5.99,CA,2022-04-18 00:08:41,overcast clouds
215,Humaita,-7.5061,-63.0208,74.97,97,100,1.1,BR,2022-04-18 00:08:41,overcast clouds
216,Baruun-Urt,46.6806,113.2792,46.35,34,19,12.68,MN,2022-04-18 00:08:41,few clouds
217,Constitucion,-35.3333,-72.4167,51.66,93,58,6.67,CL,2022-04-18 00:08:13,broken clouds
218,Lompoc,34.6391,-120.4579,70.7,66,0,28.01,US,2022-04-18 00:08:01,clear sky
219,Ormstown,45.1334,-73.9992,43.92,60,100,7.47,CA,2022-04-18 00:08:42,overcast clouds
220,Ignacio Zaragoza,28.3833,-107.2167,79.45,6,43,12.28,MX,2022-04-18 00:08:42,scattered clouds
221,Maua,-23.6678,-46.4614,63.36,89,64,4.12,BR,2022-04-18 00:08:43,broken clouds
222,Leningradskiy,69.3833,178.4167,17.2,89,83,4.27,RU,2022-04-18 00:08:43,broken clouds
223,West Bay,19.3667,-81.4167,82.08,76,0,1.01,KY,2022-04-18 00:08:43,clear sky
224,Chulman,56.8479,124.9104,22.41,94,100,10.31,RU,2022-04-18 00:08:44,light snow
225,Mugur-Aksy,50.35,90.5,36.21,37,53,6.08,RU,2022-04-18 00:08:44,broken clouds
226,Bethel,41.3712,-73.414,44.96,45,20,5.75,US,2022-04-18 00:04:28,few clouds
227,Sitka,57.0531,-135.33,46.29,57,75,9.22,US,2022-04-18 00:08:44,broken clouds
228,San Pedro,14.35,121.0167,84.31,69,61,13.6,PH,2022-04-18 00:08:45,broken clouds
229,Sorong,-0.8833,131.25,83.97,75,58,12.91,ID,2022-04-18 00:08:45,broken clouds
230,Katobu,-4.9408,122.5276,79.47,86,100,2.53,ID,2022-04-18 00:09:45,overcast clouds
231,Lebu,-37.6167,-73.65,53.33,89,86,8.25,CL,2022-04-18 00:09:46,overcast clouds
232,Esperance,-33.8667,121.9,61.45,62,71,7.31,AU,2022-04-18 00:09:46,broken clouds
233,Kualakapuas,-3.0091,114.3876,79.65,80,100,2.8,ID,2022-04-18 00:05:26,overcast clouds
234,Urumqi,43.801,87.6005,52.75,16,0,2.24,CN,2022-04-18 00:09:46,clear sky
235,Shizuishan,39.2333,106.7694,46.67,40,8,9.31,CN,2022-04-18 00:09:47,clear sky
236,Gonbad-E Qabus,37.25,55.1672,52.63,76,100,1.74,IR,2022-04-18 00:09:47,overcast clouds
237,Mazagao,-0.115,-51.2894,78.85,95,97,4.0,BR,2022-04-18 00:09:47,overcast clouds
238,Bereda,43.2686,-7.5406,51.42,94,39,4.74,ES,2022-04-18 00:09:48,scattered clouds
239,Half Moon Bay,37.4636,-122.4286,65.88,60,0,20.71,US,2022-04-18 00:09:48,clear sky
240,Najran,17.4924,44.1277,72.5,30,61,2.86,SA,2022-04-18 00:09:48,broken clouds
241,Hervey Bay,-25.2986,152.8535,77.02,69,39,7.0,AU,2022-04-18 00:09:49,scattered clouds
242,Pljevlja,43.3333,19.3333,34.39,97,100,4.83,ME,2022-04-18 00:09:49,light snow
243,Solnechnyy,50.7214,136.6319,31.82,82,97,1.59,RU,2022-04-18 00:06:17,overcast clouds
244,East London,-33.0153,27.9116,64.62,82,58,9.69,ZA,2022-04-18 00:09:50,broken clouds
245,Kpandae,8.4689,-0.0113,83.89,62,88,7.63,GH,2022-04-18 00:09:50,overcast clouds
246,Puerto Leguizamo,-0.1934,-74.7819,73.78,97,99,0.94,CO,2022-04-18 00:09:51,overcast clouds
247,Saint Anthony,45.0205,-93.218,36.25,91,100,6.91,US,2022-04-18 00:08:44,snow
248,Kodiak,57.79,-152.4072,40.51,70,100,11.5,US,2022-04-18 00:09:51,overcast clouds
249,Tezu,27.9167,96.1667,60.69,95,100,6.53,IN,2022-04-18 00:09:51,light rain
250,Aitape,-3.1374,142.3475,83.73,73,99,1.5,PG,2022-04-18 00:09:52,moderate rain
251,Waddan,29.1614,16.139,60.21,60,3,3.15,LY,2022-04-18 00:09:52,clear sky
252,Pinyug,60.251,47.7842,25.59,94,74,3.74,RU,2022-04-18 00:09:52,broken clouds
253,Kaliganj,23.4095,89.1402,79.3,88,53,11.43,BD,2022-04-18 00:09:53,broken clouds
254,Mitsamiouli,-11.3847,43.2844,81.21,72,4,7.23,KM,2022-04-18 00:06:18,clear sky
255,Gariaband,20.635,82.0614,74.77,49,13,4.9,IN,2022-04-18 00:09:53,few clouds
256,Svetlaya,46.5389,138.3297,43.0,51,14,6.38,RU,2022-04-18 00:09:53,few clouds
257,Ambon,-3.6954,128.1814,84.34,74,40,2.3,ID,2022-04-18 00:05:52,scattered clouds
258,Sept-Iles,50.2001,-66.3821,41.05,70,100,11.99,CA,2022-04-18 00:09:01,overcast clouds
259,Mantes-La-Jolie,49.0,1.6667,57.2,77,100,4.27,FR,2022-04-18 00:09:54,overcast clouds
260,Arari,-3.4536,-44.78,74.73,97,100,3.18,BR,2022-04-18 00:07:52,overcast clouds
261,Makat,47.6469,53.3463,56.52,54,5,7.16,KZ,2022-04-18 00:09:54,clear sky
262,Berlevag,70.8578,29.0864,42.6,94,100,16.51,NO,2022-04-18 00:09:55,overcast clouds
263,Ruteng,-8.6136,120.4721,68.23,85,90,1.95,ID,2022-04-18 00:09:55,overcast clouds
264,San Patricio,28.017,-97.5169,86.09,64,13,15.3,US,2022-04-18 00:09:55,few clouds
265,Murwara,23.85,80.4,81.97,19,4,5.82,IN,2022-04-18 00:09:55,clear sky
266,Sosva,59.1766,61.8558,23.38,97,10,0.27,RU,2022-04-18 00:09:56,clear sky
267,Axim,4.8699,-2.2405,79.11,86,83,7.96,GH,2022-04-18 00:09:56,broken clouds
268,Gamba,-2.65,10.0,77.31,92,100,3.89,GA,2022-04-18 00:09:56,overcast clouds
269,Enkoping,59.6361,17.0777,42.82,81,77,4.43,SE,2022-04-18 00:09:57,broken clouds
270,Srednekolymsk,67.45,153.6833,18.46,85,99,6.69,RU,2022-04-18 00:09:57,overcast clouds
271,Bousso,10.4795,16.7117,89.53,41,82,3.0,TD,2022-04-18 00:09:57,broken clouds
272,Bogatic,44.8375,19.4806,42.91,50,86,4.72,RS,2022-04-18 00:09:58,overcast clouds
273,Dukat,62.55,155.55,18.7,80,96,1.83,RU,2022-04-18 00:09:58,overcast clouds
274,Buraydah,26.326,43.975,68.38,17,1,9.26,SA,2022-04-18 00:09:58,clear sky
275,Pentecoste,-3.7928,-39.2703,73.89,96,88,3.24,BR,2022-04-18 00:05:49,overcast clouds
276,Tahe,52.3333,124.7333,33.37,68,99,6.58,CN,2022-04-18 00:09:59,overcast clouds
277,Harper,4.375,-7.7169,77.94,86,100,0.16,LR,2022-04-18 00:09:17,overcast clouds
278,Meulaboh,4.1363,96.1285,77.61,89,98,3.38,ID,2022-04-18 00:09:59,overcast clouds
279,Parabel,58.6978,81.4825,27.21,79,35,8.3,RU,2022-04-18 00:11:00,scattered clouds
280,Pokhara,28.2333,83.9833,70.83,25,2,7.81,NP,2022-04-18 00:08:13,clear sky
281,Maumere,-8.6199,122.2111,82.6,80,90,6.49,ID,2022-04-18 00:11:00,overcast clouds
282,Katsina,12.9894,7.6006,87.89,29,88,10.04,NG,2022-04-18 00:11:00,overcast clouds
283,Chake Chake,-5.2459,39.7666,77.47,89,62,8.23,TZ,2022-04-18 00:11:01,light rain
284,Ostrovnoy,68.0531,39.5131,33.03,90,100,9.15,RU,2022-04-18 00:11:01,overcast clouds
285,Ahipara,-35.1667,173.1667,69.58,91,95,13.04,NZ,2022-04-18 00:11:02,light rain
286,Bayan,46.0833,127.4,46.13,23,7,6.67,CN,2022-04-18 00:11:02,clear sky
287,Kirakira,-10.4544,161.9205,85.19,67,90,8.5,SB,2022-04-18 00:11:02,overcast clouds
288,Kibungo,-2.1597,30.5427,65.32,97,83,2.35,RW,2022-04-18 00:09:10,broken clouds
289,Mamlyutka,54.9375,68.5394,37.78,67,80,5.97,KZ,2022-04-18 00:11:03,broken clouds
290,Sorland,67.667,12.6934,43.02,84,100,18.41,NO,2022-04-18 00:11:03,overcast clouds
291,Hanzhong,33.0728,107.0303,52.86,70,100,1.61,CN,2022-04-18 00:11:04,overcast clouds
292,Denpasar,-8.65,115.2167,82.06,94,20,5.75,ID,2022-04-18 00:07:30,few clouds
293,Mabaruma,8.2,-59.7833,73.83,89,33,4.54,GY,2022-04-18 00:11:04,scattered clouds
294,Deer Lake,49.1667,-57.4316,45.93,77,100,17.25,CA,2022-04-18 00:11:04,overcast clouds
295,Vestmanna,62.1564,-7.1664,45.52,100,100,9.22,FO,2022-04-18 00:11:05,drizzle
296,Arlit,18.7369,7.3853,75.65,14,93,6.91,NE,2022-04-18 00:11:05,overcast clouds
297,Arman,59.7,150.1667,26.98,69,100,1.23,RU,2022-04-18 00:11:06,overcast clouds
298,Nieuw Amsterdam,5.8833,-55.0833,79.14,85,20,5.75,SR,2022-04-18 00:11:06,few clouds
