City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hithadhoo,MV,2022-04-17 17:42:44,-0.6,73.0833,83.16,75,88,6.98
68,Sioux Lookout,CA,2022-04-17 17:37:51,50.1001,-91.917,28.47,50,75,2.3
69,Tommot,RU,2022-04-17 17:42:45,58.9564,126.2925,18.43,88,95,4.59
70,Cabo San Lucas,MX,2022-04-17 17:42:45,22.8909,-109.9124,90.7,47,91,6.8
71,Chokwe,MZ,2022-04-17 17:42:45,-24.5333,32.9833,66.33,92,92,9.35
72,Thompson,CA,2022-04-17 17:42:45,55.7435,-97.8558,26.76,39,75,3.44
73,Torbay,CA,2022-04-17 17:42:46,47.6666,-52.7314,42.76,90,100,29.93
74,Beringovskiy,RU,2022-04-17 17:42:46,63.05,179.3167,29.19,98,100,14.47
75,San Cristobal,VE,2022-04-17 17:38:04,7.7669,-72.225,68.18,93,100,2.33
76,Fort Wellington,GY,2022-04-17 17:42:47,6.4,-57.6,82.53,68,79,9.89
77,Turbat,PK,2022-04-17 17:42:47,26.0023,63.044,87.6,31,7,5.75
78,Wembley,AU,2022-04-17 17:42:47,-31.9333,115.8,55.69,76,0,6.91
79,Cidreira,BR,2022-04-17 17:42:48,-30.1811,-50.2056,69.75,60,86,8.77
80,Vredendal,ZA,2022-04-17 17:42:48,-31.6683,18.5012,70.47,34,0,9.31
81,Geraldton,AU,2022-04-17 17:42:48,-28.7667,114.6,57.61,72,31,12.66
82,Sakakah,SA,2022-04-17 17:42:49,29.9697,40.2064,81.97,9,4,10.89
83,Isangel,VU,2022-04-17 17:42:49,-19.55,169.2667,79.43,82,100,2.13
84,Bay Roberts,CA,2022-04-17 17:42:50,47.5999,-53.2648,43.52,85,93,17.96
85,Primorsk,UA,2022-04-17 17:42:50,46.7348,36.3443,50.2,74,100,5.32
86,Portland,US,2022-04-17 17:41:08,45.5234,-122.6762,52.29,66,75,5.99
87,Vardo,NO,2022-04-17 17:37:54,70.3705,31.1107,35.58,93,75,9.22
88,Yumen,CN,2022-04-17 17:42:51,40.2833,97.2,46.09,22,0,8.79
89,Harper,LR,2022-04-17 17:42:51,4.375,-7.7169,77.31,84,100,4.7
90,Andenes,NO,2022-04-17 17:42:51,69.3143,16.1194,42.78,87,100,10.36
91,Kalamnuri,IN,2022-04-17 17:42:52,19.6667,77.3333,90.93,14,0,4.59
92,Auki,SB,2022-04-17 17:42:52,-8.7676,160.7034,76.93,86,99,4.43
93,Ribeira Grande,PT,2022-04-17 17:42:53,38.5167,-28.7,63.0,59,20,18.41
94,Genhe,CN,2022-04-17 17:43:53,50.7833,121.5167,26.46,53,79,3.44
95,Lavrentiya,RU,2022-04-17 17:43:53,65.5833,-171.0,28.63,97,100,14.52
96,Tazmalt,DZ,2022-04-17 17:43:54,36.3868,4.3989,61.75,61,0,6.8
97,Kalmunai,LK,2022-04-17 17:43:54,7.4167,81.8167,79.54,85,56,9.31
98,Buraydah,SA,2022-04-17 17:43:54,26.326,43.975,84.65,11,0,13.51
99,Leh,IN,2022-04-17 17:43:54,34.1667,77.5833,40.14,35,58,4.54
100,Yeppoon,AU,2022-04-17 17:43:55,-23.1333,150.7333,65.98,84,24,11.03
101,Bambous Virieux,MU,2022-04-17 17:43:55,-20.3428,57.7575,79.05,94,75,3.44
